,state,gender,education,customer lifetime value,income,monthly premium auto,number of open complaints,policy type,vehicle class,total claim amount
896,wa,m,bachelor,11681.37,70930.0,99.0,0.0,personal auto,four-door car,190.43
897,wa,f,high school or below,25997.75,62262.0,72.0,0.0,corporate auto,four-door car,193.51
898,nv,f,master,13778.37,91474.0,113.0,0.0,corporate auto,two-door car,24.09
899,ca,f,bachelor,4923.18,61469.0,63.0,5.0,personal auto,four-door car,302.4
900,az,f,high school or below,2272.34,16618.0,62.0,0.0,special auto,four-door car,219.29
901,ca,f,bachelor,14895.4,48081.0,188.0,0.0,personal auto,luxury suv,881.36
902,or,m,doctor,9756.05,67632.0,121.0,0.0,personal auto,sports car,26.95
903,or,f,bachelor,9422.97,34115.0,119.0,0.0,personal auto,suv,466.12
904,az,m,high school or below,3837.36,23051.0,99.0,0.0,personal auto,two-door car,475.2
905,ca,m,college,10952.13,23748.0,99.0,0.0,personal auto,four-door car,607.1
906,az,f,college,8159.14,40589.0,69.0,0.0,corporate auto,four-door car,331.2
907,ca,f,college,19480.5,50809.0,83.0,0.0,personal auto,four-door car,290.38
908,az,f,high school or below,3919.37,66676.0,97.0,0.0,personal auto,four-door car,558.1
909,nv,f,bachelor,7985.14,52339.0,70.0,3.0,corporate auto,four-door car,336.0
910,or,m,bachelor,12168.74,14973.0,115.0,0.0,personal auto,suv,828.0
911,az,f,high school or below,5849.32,0.0,83.0,0.0,corporate auto,four-door car,540.51
912,az,f,bachelor,5085.84,31546.0,65.0,0.0,personal auto,four-door car,100.05
913,ca,f,college,2903.94,67763.0,73.0,1.0,personal auto,four-door car,59.86
914,wa,f,college,6273.17,20836.0,79.0,0.0,corporate auto,four-door car,193.57
915,wa,m,college,18321.42,88592.0,76.0,0.0,corporate auto,four-door car,199.8
916,or,f,college,5178.7,66943.0,65.0,1.0,special auto,four-door car,53.08
917,az,f,high school or below,14024.36,81872.0,115.0,0.0,special auto,four-door car,256.44
918,wa,f,college,5309.44,22404.0,70.0,1.0,personal auto,four-door car,211.14
919,ca,f,high school or below,4949.8,21342.0,62.0,0.0,personal auto,four-door car,74.35
920,ca,m,bachelor,8595.67,34621.0,108.0,1.0,corporate auto,suv,621.46
921,or,m,college,22951.89,62396.0,64.0,0.0,personal auto,four-door car,307.2
922,or,m,high school or below,3792.13,97212.0,93.0,0.0,personal auto,two-door car,360.06
923,az,f,bachelor,2755.75,49648.0,70.0,0.0,personal auto,four-door car,65.95
924,az,m,college,4880.34,97984.0,61.0,1.0,personal auto,four-door car,407.45
925,ca,f,college,9051.91,26308.0,114.0,0.0,corporate auto,suv,547.2
926,or,f,college,10115.45,63528.0,256.0,0.0,personal auto,luxury car,1228.8
927,nv,m,college,8269.08,20225.0,114.0,1.0,special auto,suv,547.2
928,nv,m,high school or below,8071.65,0.0,112.0,0.0,personal auto,suv,806.4
929,or,f,high school or below,7726.99,87620.0,64.0,0.0,personal auto,four-door car,24.06
930,ca,f,bachelor,8311.14,0.0,72.0,0.0,corporate auto,four-door car,311.33
931,nv,f,master,2574.02,34990.0,65.0,0.0,personal auto,four-door car,42.69
932,or,m,bachelor,5727.33,99934.0,71.0,0.0,special auto,four-door car,460.32
933,wa,m,master,3679.14,60804.0,92.0,0.0,personal auto,four-door car,213.23
934,or,m,bachelor,2744.52,94648.0,69.0,0.0,personal auto,four-door car,331.2
935,ca,f,high school or below,5636.74,24516.0,71.0,0.0,personal auto,four-door car,300.61
936,az,m,bachelor,16870.39,61063.0,85.0,0.0,personal auto,four-door car,262.5
937,ca,m,master,2738.0,0.0,74.0,0.0,personal auto,two-door car,263.37
938,or,m,bachelor,4644.7,0.0,64.0,0.0,corporate auto,four-door car,307.2
939,ca,f,high school or below,4746.69,15169.0,63.0,0.0,personal auto,four-door car,302.4
940,az,m,college,16874.33,55390.0,71.0,0.0,corporate auto,two-door car,256.27
941,or,f,bachelor,2387.61,27592.0,62.0,0.0,personal auto,four-door car,297.6
942,wa,f,college,4465.34,61846.0,112.0,0.0,personal auto,suv,215.82
943,az,f,high school or below,4591.63,83297.0,113.0,0.0,personal auto,suv,542.4
944,az,f,college,13092.59,0.0,188.0,0.0,special auto,luxury car,1353.6
945,or,m,bachelor,9112.27,0.0,90.0,0.0,personal auto,four-door car,432.0
946,ca,f,high school or below,4165.17,55897.0,104.0,0.0,personal auto,four-door car,499.2
947,az,m,bachelor,2659.98,21297.0,71.0,0.0,personal auto,four-door car,45.51
948,az,f,master,11986.59,87560.0,98.0,1.0,personal auto,two-door car,470.4
949,or,f,high school or below,2898.73,0.0,96.0,4.0,personal auto,four-door car,691.2
950,or,f,bachelor,2894.24,0.0,85.0,0.0,personal auto,four-door car,408.0
951,az,f,doctor,3500.45,89398.0,86.0,0.0,personal auto,four-door car,82.41
952,ca,f,college,2621.81,36843.0,68.0,3.0,corporate auto,four-door car,357.64
953,or,f,college,10221.81,0.0,134.0,0.0,personal auto,suv,643.2
954,ca,m,high school or below,2578.27,34946.0,65.0,0.0,personal auto,two-door car,420.36
955,az,f,college,6242.6,75680.0,78.0,0.0,personal auto,four-door car,136.79
956,nv,f,doctor,5220.28,0.0,69.0,0.0,personal auto,four-door car,331.2
957,wa,f,college,3136.43,49532.0,79.0,1.0,personal auto,four-door car,220.19
958,az,m,bachelor,4525.37,10269.0,65.0,0.0,personal auto,two-door car,170.8
959,ca,m,college,4970.36,49714.0,63.0,3.0,personal auto,four-door car,266.17
960,ca,m,high school or below,15467.79,77517.0,129.0,0.0,corporate auto,suv,98.92
961,or,m,high school or below,5838.9,81082.0,73.0,0.0,personal auto,four-door car,281.3
962,or,f,bachelor,10656.88,72540.0,88.0,0.0,corporate auto,two-door car,631.74
963,or,f,high school or below,2289.62,0.0,65.0,0.0,personal auto,four-door car,468.0
964,ca,m,high school or below,5439.8,61546.0,68.0,0.0,corporate auto,two-door car,29.21
965,ca,f,master,7956.15,44818.0,67.0,1.0,personal auto,two-door car,136.88
966,az,m,bachelor,4458.11,17622.0,65.0,1.0,personal auto,four-door car,312.0
967,or,f,college,2555.05,0.0,72.0,0.0,personal auto,four-door car,518.4
968,ca,m,bachelor,3308.0,79797.0,84.0,0.0,corporate auto,two-door car,31.76
969,wa,f,college,8459.05,92717.0,70.0,0.0,personal auto,two-door car,224.28
970,or,f,college,13350.12,28919.0,173.0,0.0,personal auto,suv,830.4
971,az,m,college,4931.22,0.0,68.0,0.0,personal auto,four-door car,480.16
972,nv,m,bachelor,7776.84,63568.0,65.0,0.0,corporate auto,two-door car,390.79
973,nv,f,college,2553.67,73935.0,64.0,1.0,corporate auto,four-door car,72.07
974,az,f,high school or below,4876.47,0.0,66.0,0.0,corporate auto,two-door car,316.8
975,or,f,bachelor,9034.31,18846.0,115.0,0.0,personal auto,suv,552.0
976,az,f,high school or below,8105.91,38893.0,103.0,0.0,personal auto,suv,41.97
977,or,m,high school or below,5619.69,0.0,153.0,0.0,special auto,suv,1027.0
978,ca,m,bachelor,15727.13,84824.0,196.0,0.0,corporate auto,suv,319.82
979,ca,f,high school or below,6618.02,20068.0,86.0,0.0,corporate auto,four-door car,411.01
980,or,m,doctor,4670.05,0.0,125.0,0.0,corporate auto,suv,600.0
981,az,f,high school or below,10169.37,0.0,135.0,0.0,personal auto,sports car,648.0
982,ca,m,bachelor,8323.07,97245.0,70.0,0.0,personal auto,four-door car,4.11
983,ca,f,college,2417.76,51808.0,61.0,1.0,personal auto,four-door car,351.15
984,ca,m,bachelor,8044.87,71391.0,67.0,0.0,personal auto,four-door car,284.0
985,or,m,high school or below,5325.72,0.0,73.0,0.0,personal auto,two-door car,496.47
986,az,m,bachelor,6947.52,0.0,100.0,0.0,personal auto,suv,925.14
987,or,f,college,5847.42,23496.0,77.0,0.0,special auto,four-door car,13.16
988,wa,m,high school or below,,55561.0,63.0,0.0,personal auto,four-door car,227.87
989,nv,f,college,4724.79,23986.0,119.0,0.0,corporate auto,suv,463.34
990,az,f,master,2790.23,22974.0,71.0,0.0,personal auto,four-door car,180.67
991,or,f,high school or below,21531.33,0.0,101.0,0.0,personal auto,four-door car,484.8
992,az,m,bachelor,12622.83,61844.0,106.0,0.0,personal auto,sports car,508.8
993,az,m,doctor,20171.96,24804.0,73.0,0.0,personal auto,two-door car,350.4
994,ca,f,bachelor,16464.37,27760.0,104.0,0.0,personal auto,suv,302.76
995,or,f,high school or below,5595.39,74454.0,71.0,0.0,personal auto,four-door car,340.8
996,or,f,master,4170.69,29462.0,107.0,1.0,personal auto,suv,513.6
997,az,f,college,2665.45,52266.0,68.0,0.0,corporate auto,two-door car,141.92
998,or,m,bachelor,7098.91,0.0,70.0,0.0,personal auto,two-door car,349.78
999,ca,m,doctor,3971.35,23599.0,103.0,0.0,corporate auto,suv,494.4
1000,or,m,bachelor,5528.21,36088.0,72.0,0.0,personal auto,four-door car,345.6
1001,ca,f,high school or below,8339.0,70534.0,104.0,0.0,personal auto,four-door car,54.07
1002,or,m,college,38445.86,27398.0,125.0,1.0,personal auto,suv,600.0
1003,nv,m,bachelor,5448.56,85296.0,68.0,0.0,personal auto,four-door car,342.52
1004,az,m,high school or below,10808.07,31063.0,92.0,0.0,personal auto,four-door car,441.6
1005,ca,m,bachelor,6185.1,0.0,92.0,0.0,personal auto,two-door car,1027.18
1006,nv,m,high school or below,3208.23,52367.0,81.0,0.0,personal auto,four-door car,275.99
1007,az,m,college,5480.1,58651.0,71.0,0.0,personal auto,four-door car,472.6
1008,nv,f,college,22986.15,84831.0,192.0,0.0,special auto,sports car,1336.93
1009,or,m,bachelor,13107.93,49088.0,114.0,1.0,corporate auto,suv,547.2
1010,ca,f,college,7462.93,70263.0,93.0,0.0,corporate auto,two-door car,7.35
1011,or,f,doctor,11463.99,45354.0,285.0,0.0,personal auto,luxury suv,540.14
1012,az,m,high school or below,7236.13,0.0,63.0,0.0,personal auto,four-door car,383.36
1013,ca,f,bachelor,6232.69,28334.0,83.0,0.0,special auto,four-door car,537.77
1014,or,f,bachelor,28393.33,38772.0,90.0,0.0,personal auto,four-door car,321.87
1015,or,f,college,3746.75,41479.0,94.0,1.0,personal auto,two-door car,19.58
1016,ca,m,bachelor,21569.34,23909.0,119.0,0.0,personal auto,suv,571.2
1017,ca,m,college,5012.08,48328.0,63.0,0.0,personal auto,two-door car,108.14
1018,ca,m,high school or below,3371.86,86689.0,85.0,0.0,corporate auto,two-door car,408.0
1019,ca,m,bachelor,3864.78,24204.0,99.0,1.0,personal auto,four-door car,707.3
1020,or,m,college,4145.71,25943.0,110.0,0.0,corporate auto,two-door car,1067.33
1021,ca,m,high school or below,5156.07,0.0,73.0,0.0,personal auto,four-door car,807.95
1022,ca,m,college,3667.38,62375.0,92.0,0.0,personal auto,two-door car,618.63
1023,ca,f,high school or below,7835.68,0.0,71.0,0.0,corporate auto,four-door car,404.27
1024,az,m,bachelor,14567.27,0.0,148.0,0.0,personal auto,suv,710.4
1025,or,m,bachelor,10171.34,70200.0,65.0,0.0,corporate auto,four-door car,312.0
1026,nv,f,bachelor,4135.78,0.0,112.0,0.0,special auto,four-door car,707.98
1027,or,f,college,5511.49,79027.0,70.0,0.0,corporate auto,four-door car,336.0
1028,wa,f,high school or below,11314.24,62935.0,141.0,0.0,personal auto,sports car,232.24
1029,ca,f,high school or below,5414.62,26893.0,68.0,0.0,personal auto,four-door car,68.23
1030,or,f,high school or below,7421.59,47406.0,94.0,1.0,personal auto,four-door car,287.15
1031,ca,m,bachelor,4458.11,17622.0,65.0,1.0,personal auto,four-door car,312.0
1032,or,f,college,14476.12,27572.0,124.0,0.0,corporate auto,suv,595.2
1033,or,f,college,4936.89,0.0,72.0,2.0,personal auto,two-door car,391.64
1034,or,f,bachelor,4525.28,32802.0,114.0,0.0,personal auto,suv,547.2
1035,wa,f,master,5581.76,62739.0,70.0,0.0,personal auto,two-door car,239.33
1036,ca,f,bachelor,14134.35,90844.0,118.0,0.0,personal auto,suv,232.67
1037,nv,f,high school or below,24723.18,44685.0,69.0,0.0,personal auto,four-door car,331.2
1038,ca,f,bachelor,2838.07,0.0,80.0,0.0,personal auto,four-door car,336.51
1039,ca,f,high school or below,3848.48,42589.0,98.0,0.0,corporate auto,four-door car,470.4
1040,or,m,bachelor,19504.47,0.0,72.0,0.0,personal auto,four-door car,345.6
1041,wa,f,bachelors,2480.05,93383.0,62.0,0.0,corporate auto,two-door car,244.21
1042,az,f,high school or below,4361.37,79583.0,109.0,2.0,personal auto,four-door car,523.2
1043,az,f,high school or below,2529.08,89129.0,64.0,0.0,personal auto,four-door car,328.87
1044,az,m,college,2504.44,0.0,69.0,0.0,personal auto,four-door car,496.8
1045,or,f,bachelor,8649.7,94389.0,107.0,0.0,corporate auto,suv,85.06
1046,or,f,college,13668.36,0.0,197.0,0.0,personal auto,suv,1418.4
1047,or,f,high school or below,20635.08,84106.0,64.0,0.0,personal auto,two-door car,334.41
1048,az,f,college,2517.53,0.0,69.0,0.0,personal auto,four-door car,42.1
1049,ca,f,high school or below,5326.68,76717.0,66.0,0.0,personal auto,two-door car,300.53
1050,az,m,high school or below,2600.27,51978.0,66.0,0.0,corporate auto,four-door car,144.78
1051,or,f,bachelor,8534.79,47325.0,107.0,0.0,personal auto,suv,64.6
1052,or,m,high school or below,8828.83,86721.0,111.0,0.0,corporate auto,suv,532.8
1053,nv,f,bachelor,2248.45,24910.0,63.0,1.0,personal auto,four-door car,347.86
1054,wa,f,bachelor,12302.76,43817.0,62.0,1.0,personal auto,four-door car,245.45
1055,or,m,high school or below,4556.59,0.0,73.0,2.0,personal auto,four-door car,525.6
1056,or,f,bachelor,2530.71,89451.0,63.0,0.0,corporate auto,four-door car,61.77
1057,ca,m,college,5251.98,59537.0,66.0,0.0,personal auto,two-door car,316.8
1058,or,m,high school or below,6743.12,0.0,199.0,0.0,personal auto,luxury suv,955.2
1059,or,m,college,14014.72,54193.0,117.0,0.0,corporate auto,suv,720.75
1060,or,m,college,9438.92,86946.0,118.0,0.0,personal auto,four-door car,340.66
1061,ca,f,bachelor,10506.77,0.0,92.0,0.0,personal auto,four-door car,546.52
1062,az,f,high school or below,4213.92,12160.0,109.0,0.0,personal auto,four-door car,489.41
1063,ca,m,college,4773.69,33701.0,63.0,0.0,personal auto,four-door car,171.33
1064,wa,f,bachelor,5441.42,85702.0,67.0,0.0,personal auto,two-door car,249.09
1065,ca,m,bachelor,2842.27,69417.0,73.0,1.0,personal auto,four-door car,30.87
1066,or,m,master,3059.55,38644.0,78.0,1.0,personal auto,four-door car,361.46
1067,ca,f,high school or below,20315.0,63209.0,102.0,2.0,personal auto,suv,207.32
1068,az,f,bachelor,3239.12,16061.0,88.0,0.0,personal auto,four-door car,633.6
1069,ca,f,master,4626.8,79487.0,114.0,0.0,special auto,suv,547.2
1070,ca,f,college,8997.04,54230.0,112.0,0.0,personal auto,two-door car,537.6
1071,,,,,,,,,,
1072,,,,,,,,,,
1073,,,,,,,,,,
1074,,,,,,,,,,
1075,,,,,,,,,,
1076,,,,,,,,,,
1077,,,,,,,,,,
1078,,,,,,,,,,
1079,,,,,,,,,,
1080,,,,,,,,,,
1081,,,,,,,,,,
1082,,,,,,,,,,
1083,,,,,,,,,,
1084,,,,,,,,,,
1085,,,,,,,,,,
1086,,,,,,,,,,
1087,,,,,,,,,,
1088,,,,,,,,,,
1089,,,,,,,,,,
1090,,,,,,,,,,
1091,,,,,,,,,,
1092,,,,,,,,,,
1093,,,,,,,,,,
1094,,,,,,,,,,
1095,,,,,,,,,,
1096,,,,,,,,,,
1097,,,,,,,,,,
1098,,,,,,,,,,
1099,,,,,,,,,,
1100,,,,,,,,,,
1101,,,,,,,,,,
1102,,,,,,,,,,
1103,,,,,,,,,,
1104,,,,,,,,,,
1105,,,,,,,,,,
1106,,,,,,,,,,
1107,,,,,,,,,,
1108,,,,,,,,,,
1109,,,,,,,,,,
1110,,,,,,,,,,
1111,,,,,,,,,,
1112,,,,,,,,,,
1113,,,,,,,,,,
1114,,,,,,,,,,
1115,,,,,,,,,,
1116,,,,,,,,,,
1117,,,,,,,,,,
1118,,,,,,,,,,
1119,,,,,,,,,,
1120,,,,,,,,,,
1121,,,,,,,,,,
1122,,,,,,,,,,
1123,,,,,,,,,,
1124,,,,,,,,,,
1125,,,,,,,,,,
1126,,,,,,,,,,
1127,,,,,,,,,,
1128,,,,,,,,,,
1129,,,,,,,,,,
1130,,,,,,,,,,
1131,,,,,,,,,,
1132,,,,,,,,,,
1133,,,,,,,,,,
1134,,,,,,,,,,
1135,,,,,,,,,,
1136,,,,,,,,,,
1137,,,,,,,,,,
1138,,,,,,,,,,
1139,,,,,,,,,,
1140,,,,,,,,,,
1141,,,,,,,,,,
1142,,,,,,,,,,
1143,,,,,,,,,,
1144,,,,,,,,,,
1145,,,,,,,,,,
1146,,,,,,,,,,
1147,,,,,,,,,,
1148,,,,,,,,,,
1149,,,,,,,,,,
1150,,,,,,,,,,
1151,,,,,,,,,,
1152,,,,,,,,,,
1153,,,,,,,,,,
1154,,,,,,,,,,
1155,,,,,,,,,,
1156,,,,,,,,,,
1157,,,,,,,,,,
1158,,,,,,,,,,
1159,,,,,,,,,,
1160,,,,,,,,,,
1161,,,,,,,,,,
1162,,,,,,,,,,
1163,,,,,,,,,,
1164,,,,,,,,,,
1165,,,,,,,,,,
1166,,,,,,,,,,
1167,,,,,,,,,,
1168,,,,,,,,,,
1169,,,,,,,,,,
1170,,,,,,,,,,
1171,,,,,,,,,,
1172,,,,,,,,,,
1173,,,,,,,,,,
1174,,,,,,,,,,
1175,,,,,,,,,,
1176,,,,,,,,,,
1177,,,,,,,,,,
1178,,,,,,,,,,
1179,,,,,,,,,,
1180,,,,,,,,,,
1181,,,,,,,,,,
1182,,,,,,,,,,
1183,,,,,,,,,,
1184,,,,,,,,,,
1185,,,,,,,,,,
1186,,,,,,,,,,
1187,,,,,,,,,,
1188,,,,,,,,,,
1189,,,,,,,,,,
1190,,,,,,,,,,
1191,,,,,,,,,,
1192,,,,,,,,,,
1193,,,,,,,,,,
1194,,,,,,,,,,
1195,,,,,,,,,,
1196,,,,,,,,,,
1197,,,,,,,,,,
1198,,,,,,,,,,
1199,,,,,,,,,,
1200,,,,,,,,,,
1201,,,,,,,,,,
1202,,,,,,,,,,
1203,,,,,,,,,,
1204,,,,,,,,,,
1205,,,,,,,,,,
1206,,,,,,,,,,
1207,,,,,,,,,,
1208,,,,,,,,,,
1209,,,,,,,,,,
1210,,,,,,,,,,
1211,,,,,,,,,,
1212,,,,,,,,,,
1213,,,,,,,,,,
1214,,,,,,,,,,
1215,,,,,,,,,,
1216,,,,,,,,,,
1217,,,,,,,,,,
1218,,,,,,,,,,
1219,,,,,,,,,,
1220,,,,,,,,,,
1221,,,,,,,,,,
1222,,,,,,,,,,
1223,,,,,,,,,,
1224,,,,,,,,,,
1225,,,,,,,,,,
1226,,,,,,,,,,
1227,,,,,,,,,,
1228,,,,,,,,,,
1229,,,,,,,,,,
1230,,,,,,,,,,
1231,,,,,,,,,,
1232,,,,,,,,,,
1233,,,,,,,,,,
1234,,,,,,,,,,
1235,,,,,,,,,,
1236,,,,,,,,,,
1237,,,,,,,,,,
1238,,,,,,,,,,
1239,,,,,,,,,,
1240,,,,,,,,,,
1241,,,,,,,,,,
1242,,,,,,,,,,
1243,,,,,,,,,,
1244,,,,,,,,,,
1245,,,,,,,,,,
1246,,,,,,,,,,
1247,,,,,,,,,,
1248,,,,,,,,,,
1249,,,,,,,,,,
1250,,,,,,,,,,
1251,,,,,,,,,,
1252,,,,,,,,,,
1253,,,,,,,,,,
1254,,,,,,,,,,
1255,,,,,,,,,,
1256,,,,,,,,,,
1257,,,,,,,,,,
1258,,,,,,,,,,
1259,,,,,,,,,,
1260,,,,,,,,,,
1261,,,,,,,,,,
1262,,,,,,,,,,
1263,,,,,,,,,,
1264,,,,,,,,,,
1265,,,,,,,,,,
1266,,,,,,,,,,
1267,,,,,,,,,,
1268,,,,,,,,,,
1269,,,,,,,,,,
1270,,,,,,,,,,
1271,,,,,,,,,,
1272,,,,,,,,,,
1273,,,,,,,,,,
1274,,,,,,,,,,
1275,,,,,,,,,,
1276,,,,,,,,,,
1277,,,,,,,,,,
1278,,,,,,,,,,
1279,,,,,,,,,,
1280,,,,,,,,,,
1281,,,,,,,,,,
1282,,,,,,,,,,
1283,,,,,,,,,,
1284,,,,,,,,,,
1285,,,,,,,,,,
1286,,,,,,,,,,
1287,,,,,,,,,,
1288,,,,,,,,,,
1289,,,,,,,,,,
1290,,,,,,,,,,
1291,,,,,,,,,,
1292,,,,,,,,,,
1293,,,,,,,,,,
1294,,,,,,,,,,
1295,,,,,,,,,,
1296,,,,,,,,,,
1297,,,,,,,,,,
1298,,,,,,,,,,
1299,,,,,,,,,,
1300,,,,,,,,,,
1301,,,,,,,,,,
1302,,,,,,,,,,
1303,,,,,,,,,,
1304,,,,,,,,,,
1305,,,,,,,,,,
1306,,,,,,,,,,
1307,,,,,,,,,,
1308,,,,,,,,,,
1309,,,,,,,,,,
1310,,,,,,,,,,
1311,,,,,,,,,,
1312,,,,,,,,,,
1313,,,,,,,,,,
1314,,,,,,,,,,
1315,,,,,,,,,,
1316,,,,,,,,,,
1317,,,,,,,,,,
1318,,,,,,,,,,
1319,,,,,,,,,,
1320,,,,,,,,,,
1321,,,,,,,,,,
1322,,,,,,,,,,
1323,,,,,,,,,,
1324,,,,,,,,,,
1325,,,,,,,,,,
1326,,,,,,,,,,
1327,,,,,,,,,,
1328,,,,,,,,,,
1329,,,,,,,,,,
1330,,,,,,,,,,
1331,,,,,,,,,,
1332,,,,,,,,,,
1333,,,,,,,,,,
1334,,,,,,,,,,
1335,,,,,,,,,,
1336,,,,,,,,,,
1337,,,,,,,,,,
1338,,,,,,,,,,
1339,,,,,,,,,,
1340,,,,,,,,,,
1341,,,,,,,,,,
1342,,,,,,,,,,
1343,,,,,,,,,,
1344,,,,,,,,,,
1345,,,,,,,,,,
1346,,,,,,,,,,
1347,,,,,,,,,,
1348,,,,,,,,,,
1349,,,,,,,,,,
1350,,,,,,,,,,
1351,,,,,,,,,,
1352,,,,,,,,,,
1353,,,,,,,,,,
1354,,,,,,,,,,
1355,,,,,,,,,,
1356,,,,,,,,,,
1357,,,,,,,,,,
1358,,,,,,,,,,
1359,,,,,,,,,,
1360,,,,,,,,,,
1361,,,,,,,,,,
1362,,,,,,,,,,
1363,,,,,,,,,,
1364,,,,,,,,,,
1365,,,,,,,,,,
1366,,,,,,,,,,
1367,,,,,,,,,,
1368,,,,,,,,,,
1369,,,,,,,,,,
1370,,,,,,,,,,
1371,,,,,,,,,,
1372,,,,,,,,,,
1373,,,,,,,,,,
1374,,,,,,,,,,
1375,,,,,,,,,,
1376,,,,,,,,,,
1377,,,,,,,,,,
1378,,,,,,,,,,
1379,,,,,,,,,,
1380,,,,,,,,,,
1381,,,,,,,,,,
1382,,,,,,,,,,
1383,,,,,,,,,,
1384,,,,,,,,,,
1385,,,,,,,,,,
1386,,,,,,,,,,
1387,,,,,,,,,,
1388,,,,,,,,,,
1389,,,,,,,,,,
1390,,,,,,,,,,
1391,,,,,,,,,,
1392,,,,,,,,,,
1393,,,,,,,,,,
1394,,,,,,,,,,
1395,,,,,,,,,,
1396,,,,,,,,,,
1397,,,,,,,,,,
1398,,,,,,,,,,
1399,,,,,,,,,,
1400,,,,,,,,,,
1401,,,,,,,,,,
1402,,,,,,,,,,
1403,,,,,,,,,,
1404,,,,,,,,,,
1405,,,,,,,,,,
1406,,,,,,,,,,
1407,,,,,,,,,,
1408,,,,,,,,,,
1409,,,,,,,,,,
1410,,,,,,,,,,
1411,,,,,,,,,,
1412,,,,,,,,,,
1413,,,,,,,,,,
1414,,,,,,,,,,
1415,,,,,,,,,,
1416,,,,,,,,,,
1417,,,,,,,,,,
1418,,,,,,,,,,
1419,,,,,,,,,,
1420,,,,,,,,,,
1421,,,,,,,,,,
1422,,,,,,,,,,
1423,,,,,,,,,,
1424,,,,,,,,,,
1425,,,,,,,,,,
1426,,,,,,,,,,
1427,,,,,,,,,,
1428,,,,,,,,,,
1429,,,,,,,,,,
1430,,,,,,,,,,
1431,,,,,,,,,,
1432,,,,,,,,,,
1433,,,,,,,,,,
1434,,,,,,,,,,
1435,,,,,,,,,,
1436,,,,,,,,,,
1437,,,,,,,,,,
1438,,,,,,,,,,
1439,,,,,,,,,,
1440,,,,,,,,,,
1441,,,,,,,,,,
1442,,,,,,,,,,
1443,,,,,,,,,,
1444,,,,,,,,,,
1445,,,,,,,,,,
1446,,,,,,,,,,
1447,,,,,,,,,,
1448,,,,,,,,,,
1449,,,,,,,,,,
1450,,,,,,,,,,
1451,,,,,,,,,,
1452,,,,,,,,,,
1453,,,,,,,,,,
1454,,,,,,,,,,
1455,,,,,,,,,,
1456,,,,,,,,,,
1457,,,,,,,,,,
1458,,,,,,,,,,
1459,,,,,,,,,,
1460,,,,,,,,,,
1461,,,,,,,,,,
1462,,,,,,,,,,
1463,,,,,,,,,,
1464,,,,,,,,,,
1465,,,,,,,,,,
1466,,,,,,,,,,
1467,,,,,,,,,,
1468,,,,,,,,,,
1469,,,,,,,,,,
1470,,,,,,,,,,
1471,,,,,,,,,,
1472,,,,,,,,,,
1473,,,,,,,,,,
1474,,,,,,,,,,
1475,,,,,,,,,,
1476,,,,,,,,,,
1477,,,,,,,,,,
1478,,,,,,,,,,
1479,,,,,,,,,,
1480,,,,,,,,,,
1481,,,,,,,,,,
1482,,,,,,,,,,
1483,,,,,,,,,,
1484,,,,,,,,,,
1485,,,,,,,,,,
1486,,,,,,,,,,
1487,,,,,,,,,,
1488,,,,,,,,,,
1489,,,,,,,,,,
1490,,,,,,,,,,
1491,,,,,,,,,,
1492,,,,,,,,,,
1493,,,,,,,,,,
1494,,,,,,,,,,
1495,,,,,,,,,,
1496,,,,,,,,,,
1497,,,,,,,,,,
1498,,,,,,,,,,
1499,,,,,,,,,,
1500,,,,,,,,,,
1501,,,,,,,,,,
1502,,,,,,,,,,
1503,,,,,,,,,,
1504,,,,,,,,,,
1505,,,,,,,,,,
1506,,,,,,,,,,
1507,,,,,,,,,,
1508,,,,,,,,,,
1509,,,,,,,,,,
1510,,,,,,,,,,
1511,,,,,,,,,,
1512,,,,,,,,,,
1513,,,,,,,,,,
1514,,,,,,,,,,
1515,,,,,,,,,,
1516,,,,,,,,,,
1517,,,,,,,,,,
1518,,,,,,,,,,
1519,,,,,,,,,,
1520,,,,,,,,,,
1521,,,,,,,,,,
1522,,,,,,,,,,
1523,,,,,,,,,,
1524,,,,,,,,,,
1525,,,,,,,,,,
1526,,,,,,,,,,
1527,,,,,,,,,,
1528,,,,,,,,,,
1529,,,,,,,,,,
1530,,,,,,,,,,
1531,,,,,,,,,,
1532,,,,,,,,,,
1533,,,,,,,,,,
1534,,,,,,,,,,
1535,,,,,,,,,,
1536,,,,,,,,,,
1537,,,,,,,,,,
1538,,,,,,,,,,
1539,,,,,,,,,,
1540,,,,,,,,,,
1541,,,,,,,,,,
1542,,,,,,,,,,
1543,,,,,,,,,,
1544,,,,,,,,,,
1545,,,,,,,,,,
1546,,,,,,,,,,
1547,,,,,,,,,,
1548,,,,,,,,,,
1549,,,,,,,,,,
1550,,,,,,,,,,
1551,,,,,,,,,,
1552,,,,,,,,,,
1553,,,,,,,,,,
1554,,,,,,,,,,
1555,,,,,,,,,,
1556,,,,,,,,,,
1557,,,,,,,,,,
1558,,,,,,,,,,
1559,,,,,,,,,,
1560,,,,,,,,,,
1561,,,,,,,,,,
1562,,,,,,,,,,
1563,,,,,,,,,,
1564,,,,,,,,,,
1565,,,,,,,,,,
1566,,,,,,,,,,
1567,,,,,,,,,,
1568,,,,,,,,,,
1569,,,,,,,,,,
1570,,,,,,,,,,
1571,,,,,,,,,,
1572,,,,,,,,,,
