,region,gender,education,customer lifetime value,income,monthly premium auto,number of open complaints,policy type,vehicle class,total claim amount
4273,central,m,high school or below,12692.67,40117.0,108.0,0.0,personal auto,two-door car,750.08
4274,north west,m,bachelor,3309.12,72140.0,87.0,2.0,personal auto,four-door car,417.6
4275,east,f,master,5181.62,97131.0,6464.0,0.0,personal auto,four-door car,307.2
4276,west region,m,college,2413.93,12495.0,65.0,0.0,personal auto,four-door car,312.0
4277,west region,m,high school or below,2161.69,37823.32,67.0,2.0,corporate auto,two-door car,482.4
4278,north west,f,bachelor,5527.99,37823.32,72.0,0.0,personal auto,four-door car,345.6
4279,central,f,doctor,10629.22,36495.0,133.0,1.0,corporate auto,suv,229.93
4280,central,f,bachelor,11820.11,86801.0,98.0,0.0,personal auto,four-door car,371.11
4281,west region,m,college,4964.63,52679.0,62.0,0.0,personal auto,four-door car,118.0
4282,west region,m,master,9122.93,90804.0,113.0,0.0,personal auto,sports car,434.1
4284,north west,f,college,3460.66,14262.0,90.0,0.0,personal auto,four-door car,290.43
4285,north west,m,bachelor,2872.98,36844.0,73.0,0.0,personal auto,four-door car,283.97
4286,central,f,college,9927.88,58703.0,127.0,2.0,personal auto,suv,227.92
4287,central,m,high school or below,3482.69,65162.0,86.0,0.0,personal auto,four-door car,134.43
4288,north west,f,college,3991.73,54964.0,99.0,0.0,personal auto,four-door car,525.52
4289,north west,m,bachelor,5510.11,61401.0,69.0,0.0,personal auto,four-door car,144.44
4290,north west,f,high school or below,3600.93,25147.0,101.0,0.0,corporate auto,suv,694.6
4291,north west,f,master,5419.46,73536.0,67.0,0.0,personal auto,two-door car,172.52
4292,north west,f,high school or below,5810.63,24860.0,73.0,0.0,personal auto,four-door car,350.4
4293,west region,m,bachelor,3942.73,65404.0,99.0,0.0,personal auto,four-door car,300.7
4294,north west,m,high school or below,3126.27,34510.0,81.0,0.0,personal auto,four-door car,388.8
4295,west region,m,bachelor,3530.01,37823.32,108.0,0.0,corporate auto,two-door car,777.6
4296,east,f,college,10990.59,44552.0,137.0,0.0,personal auto,suv,311.1
4297,central,m,high school or below,4772.94,20993.0,133.0,0.0,personal auto,suv,638.4
4298,north west,f,bachelor,2202.34,37823.32,61.0,1.0,personal auto,two-door car,292.8
4299,east,m,high school or below,2459.17,21190.0,65.0,2.0,personal auto,four-door car,312.0
4300,central,f,college,10373.89,62587.0,86.0,0.0,personal auto,four-door car,412.8
4301,east,f,high school or below,2584.2,22562.0,65.0,0.0,personal auto,two-door car,312.0
4302,west region,m,high school or below,4307.42,73345.0,107.0,0.0,personal auto,suv,513.6
4303,north west,f,high school or below,3040.25,37823.32,83.0,0.0,personal auto,four-door car,989.11
4304,west region,f,master,19160.99,22705.0,239.0,0.0,personal auto,luxury suv,1294.7
4305,east,m,bachelors,8176.58,67137.0,111.0,5.0,personal auto,suv,314.88
4306,north west,f,bachelor,5285.31,22627.0,67.0,0.0,personal auto,four-door car,321.6
4307,west region,f,master,8024.99,38702.0,101.0,3.0,personal auto,suv,253.36
4308,west region,m,bachelor,2810.46,26790.0,71.0,0.0,personal auto,two-door car,340.8
4309,central,f,bachelor,7739.55,64859.0,96.0,0.0,personal auto,four-door car,266.95
4310,east,m,bachelor,4109.79,86657.0,103.0,0.0,personal auto,sports car,316.23
4311,central,f,high school or below,3275.16,69263.0,81.0,2.0,personal auto,two-door car,494.85
4312,north west,m,bachelor,2652.7,82655.0,66.0,0.0,personal auto,two-door car,316.8
4313,west region,f,high school or below,5048.23,29401.0,65.0,0.0,personal auto,four-door car,312.0
4314,east,m,bachelors,3362.41,22853.0,87.0,0.0,personal auto,four-door car,316.36
4315,central,f,college,4858.43,26480.0,63.0,0.0,personal auto,two-door car,378.7
4316,north west,f,high school or below,2144.92,37823.32,61.0,1.0,personal auto,four-door car,292.8
4317,west region,m,bachelor,6042.62,37823.32,83.0,0.0,personal auto,two-door car,904.39
4318,north west,f,high school or below,3387.2,73268.0,84.0,0.0,personal auto,four-door car,93.62
4319,north west,f,doctor,10864.27,95579.0,67.0,0.0,personal auto,four-door car,308.63
4320,north west,f,master,8842.65,42142.0,112.0,0.0,personal auto,sports car,396.18
4321,east,m,college,2616.61,72302.0,66.0,0.0,special auto,two-door car,316.8
4322,west region,m,bachelor,30763.26,41279.0,115.0,0.0,personal auto,sports car,251.43
4323,east,m,master,5200.23,23401.0,66.0,0.0,personal auto,four-door car,316.8
4324,central,m,bachelor,8591.31,37823.32,128.0,0.0,corporate auto,suv,1448.99
4325,central,f,college,2646.57,23170.0,71.0,0.0,personal auto,four-door car,340.8
4326,north west,f,bachelor,4607.24,17343.0,63.0,0.0,corporate auto,two-door car,208.66
4327,north west,m,college,4860.62,25854.0,68.0,0.0,personal auto,four-door car,396.28
4328,north west,m,college,2580.85,46900.0,66.0,0.0,corporate auto,four-door car,316.8
4329,east,f,college,5291.4,57338.0,66.0,0.0,personal auto,four-door car,316.8
4330,west region,m,high school or below,8405.75,85355.0,71.0,2.0,personal auto,two-door car,458.57
4331,central,f,college,3096.51,21604.0,79.0,0.0,personal auto,four-door car,379.2
4332,central,m,high school or below,29412.29,37823.32,107.0,0.0,personal auto,suv,513.6
4333,east,m,high school or below,1855.9,51878.0,66.0,1.0,personal auto,four-door car,316.8
4335,central,f,high school or below,3218.61,68776.0,80.0,0.0,personal auto,four-door car,87.86
4336,north west,f,high school or below,23207.27,45039.0,96.0,0.0,personal auto,four-door car,192.14
4337,east,f,college,6921.97,16483.0,90.0,0.0,corporate auto,two-door car,320.52
4338,central,m,high school or below,13918.53,64113.0,117.0,0.0,special auto,four-door car,561.6
4339,central,m,high school or below,8966.31,41829.0,76.0,0.0,personal auto,two-door car,416.37
4340,west region,f,master,11981.98,21514.0,62.0,0.0,personal auto,two-door car,257.25
4341,central,m,master,5532.63,27722.0,69.0,0.0,personal auto,four-door car,331.2
4342,central,f,college,11660.57,21506.0,151.0,0.0,personal auto,sports car,826.66
4343,north west,f,high school or below,2886.45,10312.0,78.0,0.0,personal auto,four-door car,486.28
4344,central,f,bachelor,12741.85,73054.0,106.0,1.0,personal auto,suv,419.37
4345,north west,f,bachelor,5398.1,73775.0,67.0,0.0,personal auto,four-door car,321.6
4346,west region,m,high school or below,7285.03,44788.0,61.0,0.0,corporate auto,four-door car,386.03
4347,central,f,high school or below,17651.96,22510.0,95.0,0.0,personal auto,four-door car,456.0
4348,central,m,master,17029.89,54613.0,213.0,0.0,personal auto,luxury suv,731.56
4349,central,f,high school or below,2491.26,25965.0,65.0,0.0,personal auto,four-door car,329.21
4350,north west,f,college,4039.32,34911.0,105.0,1.0,personal auto,suv,126.78
4351,north west,m,bachelor,2619.34,78618.0,66.0,0.0,special auto,two-door car,225.58
4352,north west,f,high school or below,5049.69,61080.0,66.0,2.0,personal auto,four-door car,294.28
4353,north west,f,master,4983.46,60415.0,62.0,0.0,personal auto,two-door car,72.67
4354,west region,f,master,2530.64,25143.0,66.0,0.0,corporate auto,four-door car,8.74
4355,west region,m,college,7396.72,41045.0,64.0,1.0,personal auto,four-door car,394.58
4356,west region,m,college,3832.9,97729.0,95.0,0.0,personal auto,four-door car,97.18
4357,central,f,high school or below,4961.41,55702.0,61.0,0.0,personal auto,four-door car,151.13
4358,west region,f,college,3861.49,93272.0,95.0,0.0,personal auto,four-door car,281.11
4359,west region,m,bachelor,22658.54,23665.0,67.0,0.0,personal auto,four-door car,404.82
4360,north west,m,high school or below,10408.97,20228.0,101.0,1.0,personal auto,suv,523.82
4361,central,f,college,4834.71,38713.0,66.0,4.0,personal auto,four-door car,316.8
4362,central,f,bachelor,8257.67,23815.0,73.0,0.0,personal auto,four-door car,424.33
4363,central,f,high school or below,3052.63,37823.32,93.0,3.0,personal auto,four-door car,446.4
4364,west region,f,high school or below,4012.32,47221.0,99.0,0.0,personal auto,two-door car,475.2
4365,north west,m,bachelor,13355.49,34495.0,113.0,0.0,personal auto,suv,389.67
4366,north west,m,college,2364.43,46264.0,62.0,0.0,corporate auto,four-door car,199.37
4367,central,m,college,2489.34,46051.0,63.0,0.0,personal auto,two-door car,302.4
4368,central,f,bachelor,4755.72,23975.0,128.0,0.0,corporate auto,suv,614.4
4369,west region,f,college,13864.39,37823.32,74.0,4.0,personal auto,four-door car,580.89
4370,central,f,college,3020.42,78561.0,74.0,0.0,personal auto,two-door car,355.2
4371,west region,m,high school or below,6285.31,37823.32,90.0,0.0,personal auto,two-door car,432.0
4372,west region,f,high school or below,2506.02,61402.0,63.0,2.0,special auto,four-door car,302.4
4373,central,m,bachelor,2826.31,65090.0,71.0,0.0,personal auto,four-door car,74.0
4374,central,m,master,4369.72,88495.0,108.0,0.0,personal auto,two-door car,535.93
4375,central,m,bachelor,12174.59,52797.0,104.0,1.0,personal auto,sports car,88.17
4376,central,m,doctor,3528.04,31278.0,92.0,4.0,personal auto,two-door car,441.6
4377,west region,f,bachelor,10436.57,24177.0,92.0,1.0,personal auto,four-door car,441.6
4378,north west,f,high school or below,2746.12,96339.0,68.0,0.0,corporate auto,four-door car,293.21
4379,west region,m,bachelor,9175.17,68164.0,119.0,2.0,personal auto,four-door car,222.58
4380,east,,high school or below,1855.9,36765.0,66.0,1.0,personal auto,four-door car,320.85
4381,east,f,doctor,2727.52,74592.0,67.0,0.0,personal auto,two-door car,321.6
4382,north west,f,college,9449.75,37823.32,63.0,0.0,special auto,four-door car,117.74
4383,west region,m,college,4568.82,37823.32,70.0,1.0,personal auto,two-door car,524.84
4384,north west,f,master,2574.02,34990.0,65.0,0.0,personal auto,four-door car,42.69
4385,central,f,master,8789.88,22849.0,109.0,0.0,personal auto,sports car,523.2
4386,central,m,doctor,2507.41,32893.0,63.0,0.0,personal auto,four-door car,174.09
4387,north west,m,college,2522.41,37823.32,73.0,0.0,corporate auto,two-door car,350.4
4388,central,m,college,7542.71,37823.32,111.0,0.0,personal auto,suv,1186.97
4389,north west,m,high school or below,6005.21,26876.0,76.0,0.0,corporate auto,four-door car,364.8
4390,central,m,bachelor,20998.26,71663.0,74.0,0.0,corporate auto,four-door car,84.49
4391,west region,m,college,2345.08,37823.32,69.0,0.0,personal auto,four-door car,331.2
4392,west region,f,high school or below,8783.17,16994.0,112.0,0.0,personal auto,suv,806.4
4393,north west,m,bachelor,4529.97,64270.0,117.0,0.0,personal auto,sports car,46.1
4394,central,f,high school or below,6033.22,37823.32,83.0,0.0,corporate auto,four-door car,597.6
4395,north west,f,doctor,5308.25,37823.32,145.0,0.0,personal auto,suv,358.77
4396,west region,m,college,2674.73,56342.0,69.0,0.0,personal auto,four-door car,331.2
4397,west region,f,high school or below,4929.81,37823.32,70.0,0.0,personal auto,four-door car,837.44
4398,west region,m,high school or below,14131.12,28327.0,185.0,0.0,personal auto,luxury car,888.0
4399,north west,m,high school or below,2471.53,95697.0,61.0,0.0,personal auto,two-door car,114.27
4400,central,m,high school or below,6005.21,26876.0,76.0,0.0,personal auto,four-door car,364.8
4401,east,m,college,4386.28,10621.0,67.0,0.0,personal auto,four-door car,321.6
4402,central,f,bachelor,19116.57,37823.32,61.0,0.0,personal auto,two-door car,657.81
4403,west region,m,college,6631.67,32918.0,84.0,0.0,personal auto,four-door car,403.2
4404,north west,f,high school or below,7432.3,37823.32,71.0,0.0,personal auto,four-door car,447.33
4405,central,m,high school or below,2928.12,63127.0,74.0,1.0,personal auto,two-door car,174.29
4406,west region,m,college,46611.87,22022.0,136.0,0.0,personal auto,suv,979.2
4407,north west,f,high school or below,16515.01,51725.0,138.0,1.0,personal auto,suv,159.0
4408,east,m,college,4386.28,10621.0,67.0,0.0,special auto,four-door car,321.6
4409,north west,f,college,10213.56,39719.0,131.0,0.0,personal auto,sports car,628.8
4410,central,m,college,10049.29,58194.0,84.0,0.0,personal auto,four-door car,451.0
4411,north west,m,college,5746.15,61990.0,72.0,0.0,personal auto,four-door car,48.88
4413,north west,f,bachelor,7486.07,97899.0,95.0,3.0,personal auto,four-door car,3.77
4414,central,f,college,9120.07,63878.0,113.0,0.0,personal auto,suv,370.29
4415,north west,f,high school or below,5678.05,68671.0,70.0,0.0,special auto,two-door car,8.08
4416,central,f,bachelor,7517.08,37823.32,102.0,0.0,personal auto,suv,1179.0
4417,north west,m,college,4530.53,34640.0,117.0,2.0,personal auto,sports car,466.32
4418,west region,f,bachelor,2691.38,21959.0,71.0,0.0,corporate auto,four-door car,340.8
4419,central,f,bachelor,8068.62,51584.0,69.0,2.0,corporate auto,two-door car,368.92
4420,north west,f,bachelor,2478.58,65744.0,62.0,0.0,corporate auto,four-door car,166.51
4421,central,f,bachelor,9112.04,25198.0,118.0,0.0,personal auto,suv,566.4
4422,central,f,master,2772.44,79663.0,69.0,0.0,personal auto,two-door car,263.96
4423,central,f,bachelor,4305.79,31071.0,111.0,2.0,personal auto,sports car,215.23
4424,west region,f,bachelor,5103.36,39452.0,131.0,0.0,corporate auto,suv,398.19
4425,north west,f,bachelor,4784.96,25813.0,61.0,0.0,personal auto,four-door car,205.33
4426,north west,f,doctor,10541.11,59965.0,131.0,0.0,personal auto,suv,905.03
4427,east,m,bachelor,5285.12,40783.0,67.0,1.0,personal auto,four-door car,321.6
4428,central,f,college,7610.84,98701.0,94.0,0.0,personal auto,four-door car,79.62
4429,central,f,college,8510.53,37823.32,121.0,0.0,personal auto,sports car,871.2
4430,north west,f,college,16172.94,64388.0,68.0,0.0,personal auto,four-door car,12.39
4431,north west,m,college,2425.49,66841.0,62.0,0.0,personal auto,four-door car,123.44
4432,north west,f,high school or below,2899.32,33738.0,74.0,1.0,corporate auto,four-door car,304.39
4433,west region,m,bachelor,3633.05,43334.0,95.0,2.0,corporate auto,two-door car,614.37
4434,west region,f,college,3457.15,37823.32,91.0,0.0,personal auto,four-door car,245.67
4435,central,f,college,3394.72,83431.0,84.0,0.0,personal auto,four-door car,403.2
4436,east,f,college,8021.07,54292.0,67.0,0.0,personal auto,four-door car,321.6
4437,north west,m,bachelor,5841.53,37823.32,79.0,0.0,personal auto,four-door car,379.2
4438,west region,m,high school or below,5479.85,38210.0,69.0,0.0,personal auto,four-door car,383.04
4439,central,f,high school or below,20455.25,37823.32,67.0,0.0,personal auto,four-door car,482.4
4440,north west,f,bachelor,8319.12,49734.0,69.0,0.0,corporate auto,four-door car,154.75
4441,east,f,high school or below,2582.86,50148.0,65.0,0.0,corporate auto,four-door car,323.49
4442,north west,m,college,4163.79,11689.0,117.0,0.0,corporate auto,suv,561.6
4443,central,f,high school or below,4853.1,17120.0,125.0,0.0,special auto,suv,717.29
4444,north west,m,high school or below,7531.7,82157.0,188.0,0.0,corporate auto,luxury car,1353.6
4445,east,f,bachelors,2585.94,21603.0,68.0,2.0,personal auto,four-door car,326.4
4446,east,f,bachelor,2695.96,25544.0,68.0,0.0,personal auto,four-door car,326.4
4447,west region,m,high school or below,2684.58,98121.0,67.0,0.0,personal auto,two-door car,383.66
4448,east,f,high school or below,8109.36,32314.0,68.0,0.0,personal auto,four-door car,326.4
4449,north west,f,college,9036.66,89382.0,112.0,0.0,corporate auto,four-door car,573.99
4450,central,f,high school or below,5352.19,97742.0,132.0,0.0,corporate auto,suv,199.59
4451,central,f,high school or below,11880.97,37823.32,114.0,0.0,personal auto,four-door car,820.8
4452,north west,m,college,2557.09,37823.32,73.0,0.0,corporate auto,four-door car,525.6
4453,west region,f,college,7914.82,77153.0,99.0,1.0,personal auto,four-door car,355.64
4454,west region,m,master,9840.08,94590.0,81.0,0.0,personal auto,two-door car,388.8
4455,central,f,high school or below,4351.55,74163.0,108.0,0.0,personal auto,four-door car,518.4
4456,north west,f,high school or below,22207.83,40450.0,287.0,3.0,personal auto,luxury suv,1377.6
4457,north west,m,high school or below,4825.26,37823.32,71.0,0.0,personal auto,two-door car,511.2
4458,central,f,high school or below,6947.84,37823.32,99.0,0.0,corporate auto,two-door car,475.2
4459,west region,f,college,3344.81,33243.0,85.0,0.0,personal auto,four-door car,24.56
4460,central,m,master,2357.5,37823.32,64.0,0.0,personal auto,four-door car,199.79
4461,north west,m,high school or below,35944.71,37823.32,114.0,0.0,corporate auto,four-door car,820.8
4462,central,m,high school or below,10408.97,20228.0,101.0,1.0,personal auto,suv,523.82
4463,central,f,high school or below,4048.16,92801.0,100.0,0.0,personal auto,suv,407.05
4464,north west,m,college,6852.0,37823.32,69.0,1.0,personal auto,four-door car,407.0
4465,west region,m,college,2903.02,36845.0,74.0,0.0,personal auto,four-door car,355.2
4466,west region,f,college,18039.11,37823.32,63.0,0.0,personal auto,four-door car,503.2
4467,west region,f,master,3242.04,72330.0,81.0,2.0,personal auto,four-door car,126.51
4468,central,f,bachelor,2467.62,19352.0,65.0,0.0,personal auto,four-door car,724.46
4469,central,m,college,5674.38,37823.32,62.0,5.0,personal auto,four-door car,297.6
4470,central,f,college,8634.36,25073.0,79.0,0.0,personal auto,four-door car,379.2
4471,north west,f,high school or below,2780.2,20261.0,72.0,0.0,personal auto,four-door car,345.6
4472,north west,m,master,22056.01,66851.0,92.0,2.0,personal auto,four-door car,408.55
4473,central,f,high school or below,2514.59,43860.0,65.0,0.0,corporate auto,four-door car,156.12
4474,north west,m,college,5886.22,37823.32,180.0,0.0,corporate auto,luxury car,1777.47
4475,west region,f,doctor,7706.04,48019.0,64.0,0.0,corporate auto,four-door car,137.67
4476,west region,m,college,2790.46,28786.0,71.0,1.0,personal auto,four-door car,345.62
4477,west region,f,high school or below,2397.04,22283.0,65.0,0.0,corporate auto,four-door car,572.07
4478,central,f,bachelor,8834.32,34133.0,111.0,0.0,personal auto,suv,226.97
4479,central,m,master,14435.67,60880.0,119.0,0.0,personal auto,two-door car,109.91
4480,west region,f,bachelor,6871.97,37823.32,196.0,2.0,personal auto,sports car,940.8
4481,north west,m,high school or below,15362.35,48115.0,192.0,0.0,personal auto,luxury car,1382.4
4482,west region,f,college,4834.8,32017.0,62.0,2.0,personal auto,four-door car,297.6
4483,north west,f,high school or below,10899.3,58518.0,136.0,0.0,personal auto,suv,323.64
4484,west region,m,bachelor,5284.04,61542.0,67.0,0.0,personal auto,four-door car,321.6
4485,north west,f,bachelor,2891.73,56761.0,73.0,1.0,corporate auto,two-door car,85.15
4486,west region,m,college,4900.55,22976.0,66.0,0.0,personal auto,four-door car,345.95
4487,central,f,high school or below,20842.6,37823.32,72.0,0.0,personal auto,four-door car,709.08
4488,east,m,college,5246.06,70301.0,67.0,0.0,personal auto,four-door car,328.94
4489,central,m,bachelor,6630.84,37823.32,66.0,0.0,personal auto,four-door car,315.95
4490,central,m,bachelor,12036.62,44428.0,104.0,0.0,personal auto,suv,499.2
4491,central,m,bachelor,3895.03,52361.0,102.0,0.0,personal auto,four-door car,645.95
4492,west region,m,college,11701.07,32435.0,297.0,0.0,personal auto,luxury car,1767.35
4493,west region,m,high school or below,3419.11,40272.0,86.0,0.0,personal auto,two-door car,23.39
4494,central,m,master,7302.78,30492.0,61.0,0.0,personal auto,four-door car,171.38
4495,central,m,high school or below,19685.41,51524.0,244.0,0.0,personal auto,luxury car,1171.2
4496,central,m,college,2486.06,36635.0,63.0,0.0,corporate auto,four-door car,302.4
4497,central,f,bachelor,5224.33,83389.0,65.0,0.0,corporate auto,two-door car,209.26
4498,north west,f,bachelor,49221.43,63035.0,153.0,0.0,personal auto,suv,734.4
4499,west region,m,bachelor,3167.89,61638.0,82.0,2.0,corporate auto,four-door car,544.34
4500,central,f,college,7805.31,21073.0,106.0,1.0,personal auto,suv,508.8
4501,west region,f,college,13197.93,37823.32,68.0,3.0,personal auto,four-door car,326.4
4502,north west,m,bachelor,6234.31,37823.32,82.0,0.0,personal auto,two-door car,192.76
4503,central,m,college,7539.6,37823.32,74.0,0.0,personal auto,four-door car,532.8
4504,central,m,high school or below,8157.93,86811.0,102.0,0.0,corporate auto,four-door car,489.6
4505,north west,m,high school or below,13156.75,72517.0,82.0,0.0,personal auto,two-door car,371.46
4506,east,f,high school or below,2491.26,25965.0,5353.0,0.0,personal auto,four-door car,329.21
4507,north west,f,doctor,5339.39,84424.0,66.0,0.0,personal auto,four-door car,231.54
4508,west region,f,college,8649.17,43383.0,109.0,0.0,personal auto,suv,757.59
4509,north west,m,high school or below,7519.13,96306.0,95.0,1.0,special auto,four-door car,185.36
4510,west region,f,college,4293.01,37823.32,61.0,0.0,corporate auto,two-door car,292.8
4511,east,f,high school or below,2537.74,37823.32,69.0,0.0,personal auto,four-door car,331.2
4512,central,f,college,13160.34,94125.0,109.0,0.0,personal auto,suv,341.68
4513,north west,m,college,13235.54,39778.0,112.0,0.0,personal auto,suv,806.4
4514,north west,f,high school or below,3744.58,37823.32,101.0,0.0,personal auto,suv,727.2
4515,north west,f,college,28486.07,91871.0,102.0,0.0,personal auto,suv,346.85
4516,central,m,bachelor,2644.68,54000.0,66.0,0.0,corporate auto,two-door car,373.88
4517,north west,m,doctor,5073.28,57709.0,125.0,0.0,personal auto,suv,600.0
4518,central,f,high school or below,4272.59,81132.0,107.0,0.0,corporate auto,suv,419.11
4519,west region,m,college,11003.02,22926.0,93.0,0.0,corporate auto,four-door car,479.93
4520,central,f,college,14181.64,37823.32,72.0,2.0,personal auto,four-door car,345.6
4521,east,m,bachelor,5548.03,67798.0,69.0,0.0,personal auto,four-door car,331.2
4522,north west,m,bachelor,11077.69,78011.0,138.0,0.0,personal auto,suv,619.7
4523,north west,m,college,2435.69,32931.0,62.0,0.0,personal auto,four-door car,297.6
4524,west region,f,bachelor,8743.85,99517.0,109.0,0.0,personal auto,four-door car,239.91
4525,central,m,bachelor,2409.76,59665.0,62.0,1.0,personal auto,two-door car,167.14
4526,east,f,high school or below,5500.01,86073.0,136.0,0.0,corporate auto,sports car,333.57
4527,central,f,high school or below,8528.29,91099.0,107.0,0.0,corporate auto,suv,406.43
4528,north west,m,college,3592.0,28013.0,91.0,0.0,personal auto,four-door car,655.2
4529,central,f,high school or below,8539.83,55478.0,71.0,0.0,personal auto,two-door car,339.4
4530,central,f,college,6990.92,22568.0,88.0,0.0,corporate auto,four-door car,422.4
4531,west region,f,high school or below,3979.39,37823.32,112.0,0.0,personal auto,suv,806.4
4532,central,m,high school or below,23950.37,39335.0,201.0,0.0,corporate auto,luxury suv,964.8
4533,north west,f,college,2321.05,37823.32,66.0,0.0,personal auto,two-door car,508.7
4534,north west,m,college,5087.02,37823.32,72.0,0.0,personal auto,four-door car,345.6
4535,north west,m,college,4362.93,58842.0,110.0,0.0,personal auto,four-door car,528.0
4536,north west,f,bachelor,7457.47,37823.32,69.0,0.0,personal auto,four-door car,678.21
4537,north west,m,college,7027.76,37823.32,102.0,0.0,personal auto,suv,489.6
4538,north west,f,bachelor,2831.68,70037.0,70.0,0.0,personal auto,four-door car,409.99
4539,central,m,high school or below,4217.86,37823.32,62.0,0.0,personal auto,two-door car,446.4
4540,central,m,college,7596.29,59847.0,192.0,0.0,corporate auto,luxury car,921.6
4541,west region,m,bachelor,8365.68,26630.0,118.0,0.0,personal auto,four-door car,581.08
4542,north west,f,high school or below,2726.39,48039.0,68.0,0.0,personal auto,four-door car,11.45
4543,west region,m,high school or below,3420.45,37823.32,92.0,0.0,personal auto,four-door car,441.6
4544,central,m,high school or below,4839.11,37823.32,137.0,0.0,personal auto,suv,1227.46
4545,central,f,bachelor,4358.55,37823.32,118.0,0.0,corporate auto,sports car,101.83
4546,east,f,master,12427.39,15818.0,107.0,0.0,personal auto,two-door car,333.89
4547,north west,f,doctor,23515.85,36537.0,85.0,0.0,personal auto,four-door car,165.31
4548,central,f,master,8396.33,37823.32,115.0,1.0,personal auto,suv,552.0
4549,central,m,high school or below,5170.98,53603.0,132.0,1.0,personal auto,sports car,697.27
4550,central,m,doctor,5585.31,37823.32,80.0,0.0,corporate auto,four-door car,6.28
4551,west region,f,doctor,8639.5,92374.0,107.0,1.0,personal auto,suv,220.02
4552,west region,m,high school or below,5281.83,39658.0,66.0,0.0,corporate auto,four-door car,316.8
4553,north west,f,bachelor,8385.25,37823.32,116.0,0.0,personal auto,sports car,556.8
4554,central,m,bachelor,4633.1,37823.32,70.0,0.0,personal auto,two-door car,336.0
4555,west region,f,high school or below,2480.39,37823.32,65.0,0.0,personal auto,four-door car,328.31
4556,central,m,high school or below,3618.69,50755.0,91.0,0.0,personal auto,two-door car,436.8
4557,east,f,college,5375.84,69050.0,67.0,0.0,personal auto,four-door car,334.89
4558,north west,m,bachelor,4893.29,37823.32,73.0,0.0,corporate auto,four-door car,680.05
4559,west region,m,high school or below,10737.68,50607.0,137.0,0.0,personal auto,suv,657.6
4560,east,f,college,2607.82,37823.32,70.0,1.0,special auto,two-door car,336.0
4561,central,f,bachelor,15725.25,37823.32,149.0,0.0,corporate auto,suv,1072.8
4562,central,m,college,9553.42,37823.32,146.0,0.0,corporate auto,suv,1051.2
4564,west region,f,bachelor,7324.93,37823.32,105.0,0.0,special auto,two-door car,504.0
4565,north west,m,high school or below,5333.04,55674.0,66.0,0.0,personal auto,four-door car,81.71
4566,west region,m,college,12767.23,37823.32,189.0,0.0,corporate auto,luxury car,2201.33
4567,east,m,bachelor,2659.34,24495.0,70.0,0.0,personal auto,four-door car,336.0
4568,north west,f,college,3483.63,42983.0,86.0,0.0,personal auto,four-door car,412.8
4569,central,m,college,4636.55,26802.0,66.0,1.0,special auto,two-door car,316.8
4570,west region,m,doctor,17530.04,37823.32,97.0,0.0,corporate auto,four-door car,469.23
4571,north west,m,high school or below,6978.72,53808.0,88.0,0.0,personal auto,four-door car,189.84
4572,central,f,college,2912.25,93403.0,73.0,0.0,personal auto,four-door car,295.22
4573,north west,f,bachelor,4209.28,26435.0,111.0,1.0,corporate auto,four-door car,1012.25
4574,north west,f,bachelor,5009.81,37823.32,68.0,0.0,personal auto,four-door car,326.4
4575,west region,f,bachelor,5217.51,39854.0,66.0,0.0,personal auto,two-door car,261.93
4576,north west,m,college,11490.34,37823.32,161.0,0.0,personal auto,suv,1052.93
4577,central,f,master,2864.54,91368.0,71.0,0.0,personal auto,four-door car,395.33
4578,central,m,bachelor,8403.91,37823.32,115.0,0.0,personal auto,suv,552.0
4579,west region,f,college,20395.97,92850.0,104.0,1.0,personal auto,four-door car,499.2
4580,east,f,bachelors,5292.63,37823.32,70.0,0.0,personal auto,two-door car,336.0
4581,central,m,bachelor,16727.77,30915.0,72.0,2.0,personal auto,four-door car,345.6
4582,central,f,master,5801.13,48927.0,72.0,0.0,personal auto,four-door car,139.35
4583,north west,f,bachelor,9472.97,37823.32,86.0,0.0,personal auto,four-door car,412.8
4584,central,f,college,10484.92,61108.0,89.0,0.0,personal auto,four-door car,49.45
4585,central,m,master,4387.31,48015.0,110.0,0.0,corporate auto,sports car,528.0
4586,central,m,college,4522.88,37823.32,61.0,0.0,personal auto,four-door car,292.8
4587,central,f,college,5418.15,57587.0,68.0,0.0,personal auto,four-door car,257.09
4588,east,m,master,1855.9,37823.32,70.0,0.0,personal auto,four-door car,336.0
4589,central,f,college,15785.3,81119.0,196.0,0.0,corporate auto,suv,940.8
4590,west region,f,bachelor,22110.4,65724.0,70.0,0.0,personal auto,four-door car,14.52
4591,east,m,high school or below,13596.2,20128.0,70.0,2.0,personal auto,four-door car,336.0
4592,north west,m,high school or below,4756.13,56146.0,119.0,0.0,corporate auto,four-door car,401.79
4593,west region,m,bachelor,2447.05,84658.0,62.0,0.0,personal auto,four-door car,44.78
4594,central,f,college,5675.92,33257.0,72.0,1.0,personal auto,four-door car,345.6
4595,east,f,college,7399.03,37823.32,101.0,0.0,personal auto,suv,337.62
4596,north west,m,college,7308.43,31115.0,92.0,0.0,personal auto,four-door car,441.6
4597,north west,f,college,32871.75,78487.0,117.0,0.0,personal auto,suv,448.26
4598,north west,m,bachelor,5228.92,92472.0,65.0,0.0,corporate auto,four-door car,240.22
4599,central,m,high school or below,20700.86,37823.32,64.0,0.0,personal auto,four-door car,460.8
